id,drink,spirit,deck_inclusion_rate,pick_rate_when_drawn,selection_share,served_win_rate,flags
d1,Golden Lager,Beer,0.3537,0.23034269701860524,0.01036975026656539,0.5372742376333137,underused
d2,Citrus Shandy,Beer,0.352,0.3251156951148007,0.014582790990149265,0.6092284937006418,
d3,Midnight Stout,Beer,0.351705,0.372356249709478,0.016663605770888087,0.5921711057304277,
d4,Spiced Saison,Beer,0.781625,0.46569632165127556,0.06691370770168925,0.4652261734892426,dominant-selection|high-inclusion
d5,Velvet Porter,Beer,0.35124,0.43451518575131254,0.019429704596811675,0.54548890335314,
d6,Cellar Reserve Ale,Beer,0.352705,0.6329510079186497,0.02833810000986619,0.4277340450690902,
d7,Clean Cut Martini,Vodka,0.352275,0.48824243799253975,0.021743801240286856,0.3455430060816681,
d8,Market Mule,Vodka,0.709325,0.4514873856115326,0.05748124532693338,0.4342895036642805,dominant-selection|high-inclusion
d9,Neon Cosmo,Vodka,0.350805,0.3283527234090894,0.014602255909906247,0.5859813373841337,
d10,Vanilla White Russian,Vodka,0.352535,0.33513956650403903,0.014942817712066587,0.5758739915482136,
d11,Pepper Lemon Drop,Vodka,0.352265,0.22498441889995768,0.010030377161794791,0.5727738968962773,underused
d12,Diamond Vodka Tonic,Vodka,0.35296,0.6346844381557519,0.028259348807795952,0.5158898448157102,
d13,Old Fashioned,Whiskey,0.35192,0.5087307705198244,0.022554047098567977,0.46090253149076676,
d14,Whiskey Sour,Whiskey,0.35119,0.44016297356214124,0.019471457592626272,0.3736460363613126,
d15,Honey Highball,Whiskey,0.352385,0.3873236369240872,0.017176825868908074,0.3407066934788854,
d16,Smoked Manhattan,Whiskey,0.35211,0.5419551259507852,0.024043039166390296,0.5693571630194173,
d17,Straight Rye,Whiskey,0.353545,0.5039461988696395,0.022324331328000838,0.39761275292516296,
d18,Bourbon Flip,Whiskey,0.352975,0.42307640755162085,0.018760170792040957,0.5751432664756447,
d19,Midnight Mojito,Rum,0.35132,0.39310038297787014,0.017478160657207014,0.40762385833015186,
d20,Spiced Daiquiri,Rum,0.351455,0.3755255210057895,0.01668307069064507,0.4065788255623785,
d21,Tropical Fizz,Rum,0.34943,0.2596660527352497,0.011458894249914116,0.586574702246344,underused
d22,Blackstrap Old Fashioned,Rum,0.350175,0.5502295517699649,0.02436131289249302,0.4635162888092458,
d23,Coconut Cream Punch,Rum,0.353295,0.3539935164556624,0.015771042618367516,0.655153594261656,
d24,Admiral's Reserve,Rum,0.35105,0.6522296413112774,0.028882969175887986,0.537643343859066,
d25,Garden Gimlet,Gin,0.350925,0.34573834352953775,0.015350243742399766,0.4608387295713845,
d26,Bitter Bloom,Gin,0.3517,0.5055544637236059,0.022551372529441064,0.4980585302051827,
d27,Bramble Night,Gin,0.34983,0.4494295508717427,0.01994782807156434,0.4950357466518981,
d28,Savory Gibson,Gin,0.351195,0.5751187300652304,0.025532922757254918,0.3961654640040275,
d29,Pepper Negroni,Gin,0.351945,0.4780978387558693,0.021332363356263307,0.4527376088883125,
d30,Crystal Gin Fizz,Gin,0.710005,0.43585538976140104,0.05552880986428642,0.5738663735069234,dominant-selection|high-inclusion
d31,Sunset Paloma,Tequila,0.351255,0.3364579298184684,0.014970603513551745,0.46215176521685175,
d32,Desert Margarita,Tequila,0.352325,0.4454887907937366,0.019838913673229465,0.5134718100890208,
d33,Spiced Ranch Water,Tequila,0.7818,0.2815007948994212,0.04049089636104068,0.5616396761133603,high-inclusion
d34,Agave Cream Flip,Tequila,0.35124,0.3663024074475717,0.016311751343525225,0.5082612116443745,
d35,Bitter Cactus,Tequila,0.352925,0.5475354921040039,0.024481222741682983,0.4133642940758794,
d36,Platinum Añejo,Tequila,0.35203,0.6232516958799603,0.027822353929893004,0.478462978534372,
d37,Velvet Merlot,Wine,0.352305,0.32939424460909944,0.0147238002180071,0.5621941029007999,
d38,City Spritz,Wine,0.780385,0.3820962143870666,0.05489672002729249,0.4839470480827754,dominant-selection|high-inclusion
d39,Golden Sangria,Wine,0.35124,0.3384580548701504,0.015102697510986536,0.666648490962131,
d40,Cellar Select,Wine,0.35238,0.488421485793173,0.02186876305338321,0.5913633989204249,
d41,Cream Sherry Flip,Wine,0.35179,0.5280092654224021,0.02357365228461695,0.41661750245821044,
d42,Spiced Mulled Wine,Wine,0.35131,0.5248057381948595,0.023352257395777985,0.4269729226718718,
